SampleNumber,ResultRelativePath,PredictedIndex,TargetIndexes,SolveTime,SolveStatus,IsInfeasible,ObjectiveValue,ObjectiveBound,TighteningApproach,TotalTime
1,run_results/2020-02-24T20.59.33.693.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",120.03218507766724,UserLimit,false,NaN,0.007531159854161456,lp,136.53830021
2,run_results/2020-02-24T20.59.44.352.mat,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.02487492561340332,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,9.137286293
3,run_results/2020-02-24T20.59.57.420.mat,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",3.5861740112304688,UserObjLimit,false,0.0030826820872661307,0.0,lp,12.908088047
4,run_results/2020-02-24T21.00.17.138.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",8.815952062606812,UserObjLimit,false,0.006889533341065021,0.0023921337047488594,lp,19.592751691
5,run_results/2020-02-24T21.02.56.973.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",1.5040040016174316,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,159.830649472
6,run_results/2020-02-24T21.03.06.494.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.04778599739074707,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,9.515386294
7,run_results/2020-02-24T21.03.15.484.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0332949161529541,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.984789362
8,run_results/2020-02-24T21.03.35.174.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",10.743567943572998,UserObjLimit,false,0.00784313725490196,0.0034319683767977897,lp,19.67965674
9,run_results/2020-02-24T21.03.55.528.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",11.049299001693726,UserObjLimit,false,0.0065159341632735155,1.6632476131347327e-5,lp,20.340870068
10,run_results/2020-02-24T21.04.03.545.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.03190302848815918,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.011857444
11,run_results/2020-02-24T21.04.11.950.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.10501503944396973,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.403250851
12,run_results/2020-02-24T21.04.20.728.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.027616024017333984,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.774296143
13,run_results/2020-02-24T21.04.29.777.mat,7,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.2806079387664795,Optimal,false,0.0,0.0,lp,9.046062587
14,run_results/2020-02-24T21.04.40.294.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.030654191970825195,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,10.513063741
15,run_results/2020-02-24T21.04.57.185.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",7.813493013381958,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,16.888265296
16,run_results/2020-02-24T21.05.05.843.mat,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.03989911079406738,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.654157086
17,run_results/2020-02-24T21.05.13.696.mat,4,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.14102506637573242,Optimal,false,0.0,0.0,lp,7.851283613
18,run_results/2020-02-24T21.05.22.983.mat,4,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",1.5231449604034424,UserObjLimit,false,0.0077108610861946454,0.0,lp,9.284924033
19,run_results/2020-02-24T21.05.31.221.mat,9,"[1, 2, 3, 4, 5, 6, 7, 8, 10]",0.03310203552246094,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.234468069
20,run_results/2020-02-24T21.05.44.686.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",5.2822699546813965,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,13.464013
21,run_results/2020-02-24T21.05.55.083.mat,10,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",1.888504981994629,UserObjLimit,false,0.007599763049634341,0.0,lp,10.394911582
22,run_results/2020-02-24T21.06.02.226.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.021210908889770508,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,7.140274424
23,run_results/2020-02-24T21.06.18.261.mat,1,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",4.563900947570801,UserObjLimit,false,0.001727648505639711,0.0,lp,16.031996364
24,run_results/2020-02-24T21.06.26.579.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.02713608741760254,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.313414316
25,run_results/2020-02-24T21.06.34.674.mat,5,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.24210810661315918,Optimal,false,0.0,0.0,lp,8.093471976
26,run_results/2020-02-24T21.06.44.359.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",1.2072649002075195,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,9.681197333
27,run_results/2020-02-24T21.06.56.533.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",3.5556459426879883,UserObjLimit,false,0.0076885632044006195,0.0,lp,12.170355284
28,run_results/2020-02-24T21.07.05.438.mat,8,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.44148802757263184,Optimal,false,0.0,0.0,lp,8.900605131
29,run_results/2020-02-24T21.07.18.526.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",4.641681909561157,UserObjLimit,false,0.007313985311850597,0.0028080194774960034,lp,13.083512289
30,run_results/2020-02-24T21.07.27.708.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.04795193672180176,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,9.17809814
31,run_results/2020-02-24T21.07.53.080.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",15.112030982971191,UserObjLimit,false,0.0008171244013188153,0.0,lp,25.368575628
32,run_results/2020-02-24T21.08.06.453.mat,5,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",2.6467630863189697,UserObjLimit,false,0.00784313725490196,0.0,lp,13.366841113
33,run_results/2020-02-24T21.08.45.421.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",30.38060212135315,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,38.963513188
34,run_results/2020-02-24T21.09.00.833.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",6.570091962814331,UserObjLimit,false,0.0074701978286381265,0.0030043852845867036,lp,15.407484303
35,run_results/2020-02-24T21.09.11.148.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.04432797431945801,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,10.308835644
36,run_results/2020-02-24T21.09.23.526.mat,2,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",3.2107560634613037,UserObjLimit,false,0.0071776611966485,0.0,lp,12.375155562
37,run_results/2020-02-24T21.09.32.908.mat,8,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.8451700210571289,UserObjLimit,false,0.007793877259528722,0.0,lp,9.375394851
38,run_results/2020-02-24T21.09.41.110.mat,10,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.19508004188537598,Optimal,false,0.0,0.0,lp,8.19900779
39,run_results/2020-02-24T21.09.49.477.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.08607816696166992,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.36329326
40,run_results/2020-02-24T21.09.57.697.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.07664799690246582,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,8.216400738
41,run_results/2020-02-24T21.10.06.516.mat,1,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.9848141670227051,UserObjLimit,false,0.007090803067939491,0.0,lp,8.815997284
42,run_results/2020-02-24T21.10.19.135.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",3.0805490016937256,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,12.615905511
43,run_results/2020-02-24T21.10.33.937.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",6.050142049789429,UserObjLimit,false,0.00784313725490196,0.0,lp,14.793701277
