SampleNumber,ResultRelativePath,PredictedIndex,TargetIndexes,SolveTime,SolveStatus,IsInfeasible,ObjectiveValue,ObjectiveBound,TighteningApproach,TotalTime
1,run_results/2018-10-06T17.07.57.935.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.5721259117126465,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,67.16507169
2,run_results/2018-10-06T17.08.44.698.mat,3,"[1, 2, 4, 5, 6, 7, 8, 9, 10]",1.455320119857788,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,44.125748174
3,run_results/2020-02-28T16.11.01.561.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.003857135772705078,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,9.26482608
4,run_results/2020-02-28T16.11.04.681.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.005608081817626953,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.680560754
5,run_results/2020-02-28T16.11.06.438.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.0046689510345458984,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.756299526
6,run_results/2020-02-28T16.11.07.892.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.0035500526428222656,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.45258641
7,run_results/2020-02-28T16.11.09.676.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.037789106369018555,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.781670418
8,run_results/2020-02-28T16.11.11.370.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.014129161834716797,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.693218264
9,run_results/2020-02-28T16.11.13.548.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.36609792709350586,UserObjLimit,false,0.09997829060905199,0.09356855858623214,lp,2.055195804
10,run_results/2020-02-28T16.11.15.393.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.05613589286804199,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.741071274
11,run_results/2020-02-28T16.11.17.197.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.005975008010864258,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.803166277
12,run_results/2020-02-28T16.11.19.233.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.028506040573120117,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,2.0347718
13,run_results/2020-02-28T16.11.20.941.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.005084991455078125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.706507538
14,run_results/2020-02-28T16.11.22.839.mat,1,"[2, 3, 4, 5, 6, 7, 8, 9, 10]",0.005519866943359375,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.897018223
15,run_results/2020-02-28T16.11.24.286.mat,2,"[1, 3, 4, 5, 6, 7, 8, 9, 10]",0.003567934036254883,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.445250938
16,run_results/2020-02-28T16.11.26.182.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.01087188720703125,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.894098389
17,run_results/2020-02-28T16.11.28.070.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.07316899299621582,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.886652929
18,run_results/2020-02-28T16.11.29.656.mat,8,"[1, 2, 3, 4, 5, 6, 7, 9, 10]",0.0044558048248291016,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.58512732
19,run_results/2020-02-28T16.11.31.682.mat,4,"[1, 2, 3, 5, 6, 7, 8, 9, 10]",0.1435251235961914,UserObjLimit,false,0.05135840355058319,0.0,lp,2.024475545
20,run_results/2020-02-28T16.11.33.437.mat,5,"[1, 2, 3, 4, 6, 7, 8, 9, 10]",0.004780769348144531,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.753522019
21,run_results/2020-02-28T16.11.35.131.mat,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.03949999809265137,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.692636834
22,run_results/2020-02-28T16.11.36.890.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.011052846908569336,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.758068425
23,run_results/2020-02-28T16.11.38.731.mat,7,"[1, 2, 3, 4, 5, 6, 8, 9, 10]",0.0053670406341552734,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.839396653
24,run_results/2020-02-28T16.11.40.535.mat,6,"[1, 2, 3, 4, 5, 7, 8, 9, 10]",0.0058820247650146484,InfeasibleOrUnbounded,true,NaN,1.0e100,lp,1.802867588
